Dauer (s);MFC-1 (mln/min);MFC-2 (mln/min);MFC-3 (mln/min);MFC-4 (mln/min);MFC-5 (mln/min);MFC-6 (mln/min);MFC-7 (mln/min);MFC-8 (mln/min);TIC-1 (°C);TIC-2 (°C);TIC-3 (°C);TIC-4 (°C);TIR-1 (°C);TIR-2 (°C);HIR-1 (°C);PIR-1 (bar)
715;0.00;104.96;0.00;105.00;0.00;0.00;59.00;17.22;32.05;180.07;451.80;180.10;473.59;465.37;80.49;0.08
720;0.00;104.99;0.00;104.96;0.00;0.00;58.98;17.19;32.05;180.06;452.30;180.09;476.95;468.28;80.49;0.08
725;0.00;104.98;0.00;104.99;0.00;0.00;58.99;17.19;32.05;180.04;453.08;180.02;483.52;471.30;80.49;0.07
730;0.00;105.02;0.00;104.94;0.00;0.00;59.02;17.20;32.06;180.04;453.17;179.97;486.25;476.88;80.49;0.06
735;0.00;105.02;0.00;104.99;0.00;0.00;59.02;17.23;32.06;180.04;453.45;179.90;488.47;479.05;80.49;0.06
740;0.00;105.02;0.00;105.00;0.00;0.00;59.01;17.20;32.07;180.05;454.36;179.83;490.04;480.73;80.49;0.08
745;0.00;104.94;0.00;104.99;0.00;0.00;59.01;17.19;32.07;180.05;455.22;179.70;491.63;481.92;80.49;0.08
750;0.00;105.01;0.00;104.97;0.00;0.00;58.99;17.19;32.08;180.05;456.18;179.64;491.81;483.07;80.49;0.08
755;0.00;104.99;0.00;104.99;0.00;0.00;59.01;17.22;32.09;180.06;457.00;179.60;491.70;483.16;80.49;0.07
760;0.00;105.02;0.00;104.94;0.00;0.00;58.98;17.20;32.09;180.06;457.71;179.58;491.36;483.01;80.49;0.06
765;0.00;105.01;0.00;105.00;0.00;0.00;59.02;17.20;32.08;180.06;458.02;179.61;490.18;482.19;80.49;0.06
770;0.00;105.02;0.00;105.00;0.00;0.00;59.02;17.20;32.09;180.05;458.33;179.65;489.43;481.60;80.49;0.08
775;0.00;104.93;0.00;104.99;0.00;0.00;58.98;17.23;32.10;180.06;458.87;179.71;488.59;480.92;80.49;0.08
780;0.00;105.01;0.00;104.98;0.00;0.00;58.99;17.22;32.09;180.06;460.24;179.84;486.76;480.18;80.49;0.08
785;0.00;104.99;0.00;104.99;0.00;0.00;58.99;17.20;32.10;180.07;460.55;179.91;485.75;478.52;80.49;0.08
790;0.00;105.03;0.00;104.94;0.00;0.00;59.01;17.20;32.10;180.07;460.45;179.97;484.76;477.66;80.49;0.06
795;0.00;105.01;0.00;105.00;0.00;0.00;59.04;17.23;32.12;180.07;460.25;180.01;483.73;476.75;80.49;0.06
800;0.00;105.01;0.00;105.00;0.00;0.00;59.03;17.19;32.12;180.06;460.28;180.05;481.64;475.84;80.49;0.08
805;0.00;104.93;0.00;104.99;0.00;0.00;58.99;17.20;32.12;180.06;460.59;180.05;480.57;473.93;80.49;0.08
810;0.00;104.97;0.00;104.97;0.00;0.00;58.99;17.20;32.12;180.04;460.99;180.02;479.50;472.98;80.49;0.09
815;0.00;104.99;0.00;105.00;0.00;0.00;58.99;17.20;32.12;180.04;460.96;179.93;478.44;472.02;80.49;0.07
820;0.00;105.06;0.00;104.92;0.00;0.00;58.99;17.19;32.13;180.05;460.45;179.85;476.32;470.07;80.49;0.06
825;0.00;105.01;0.00;104.99;0.00;0.00;59.03;17.23;32.14;180.05;460.05;179.79;475.27;469.11;80.49;0.07
830;0.00;105.01;0.00;104.98;0.00;0.00;59.01;17.22;32.14;180.07;459.68;179.72;474.19;468.14;80.49;0.08
835;0.00;104.97;0.00;104.99;0.00;0.00;58.99;17.22;32.15;180.06;459.71;179.61;472.10;467.19;80.49;0.09
840;0.00;105.00;0.00;104.96;0.00;0.00;58.96;17.20;32.15;180.06;459.87;179.58;471.06;465.24;80.49;0.08
845;0.00;105.01;0.00;104.99;0.00;0.00;58.98;17.20;32.16;180.05;459.74;179.57;470.04;464.30;80.49;0.07
850;0.00;105.04;0.00;104.92;0.00;0.00;59.01;17.20;32.16;180.03;458.31;179.57;469.01;463.35;80.49;0.06
855;0.00;105.01;0.00;104.99;0.00;0.00;59.00;17.22;32.17;180.02;457.74;179.64;466.97;461.45;80.49;0.06
860;0.00;105.00;0.00;105.00;0.00;0.00;59.02;17.22;32.17;180.02;457.27;179.69;465.98;460.52;80.49;0.08
865;0.00;104.96;0.00;105.01;0.00;0.00;58.99;17.17;32.17;180.04;457.13;179.75;464.98;459.60;80.49;0.08
870;0.00;105.01;0.00;104.97;0.00;0.00;58.99;17.20;32.18;180.06;457.12;179.86;463.36;458.14;80.49;0.08
875;0.00;105.00;0.00;104.99;0.00;0.00;58.97;17.23;32.18;180.07;456.29;179.95;462.61;457.42;80.49;0.07
880;0.00;105.04;0.00;104.92;0.00;0.00;59.02;17.19;32.18;180.07;455.43;179.98;461.01;455.85;80.49;0.06
885;0.00;105.02;0.00;105.00;0.00;0.00;59.01;17.22;32.19;180.05;454.78;180.00;460.86;455.51;80.49;0.06
890;0.00;105.00;0.00;105.01;0.00;0.00;59.01;17.22;32.20;180.04;454.25;180.00;461.68;455.90;80.49;0.08
895;0.00;104.96;0.00;105.00;0.00;0.00;58.99;17.20;32.21;180.05;454.30;179.95;466.63;457.20;80.49;0.08
900;0.00;105.00;0.00;104.97;0.00;0.00;58.97;17.20;32.21;180.07;454.64;179.91;470.67;462.69;80.49;0.08
905;0.00;105.00;0.00;105.00;0.00;0.00;58.99;17.22;32.21;180.09;454.83;179.85;475.44;466.75;80.49;0.07
910;0.00;105.01;0.00;104.94;0.00;0.00;58.99;17.22;32.22;180.10;454.70;179.78;480.86;471.26;80.49;0.06
915;0.00;105.01;0.00;105.01;0.00;0.00;59.02;17.22;32.22;180.08;455.08;179.64;492.21;481.23;80.49;0.06
920;0.00;105.01;0.00;104.99;0.00;0.00;59.01;17.19;32.22;180.05;455.69;179.59;498.12;486.49;80.49;0.08
925;0.00;104.93;0.00;105.01;0.00;0.00;58.99;17.22;32.23;180.03;456.82;179.54;503.99;491.81;80.49;0.08
